Device/Package xc7a200tfbg676 4/30/2012 11:17:41                                                                                                   
                                                                                                         
Pin   Pin Name                      Memory Byte Group  Bank  VCCAUX Group  Super Logic Region  I/O Type  No-Connect
K3    IO_L1P_T0_34                  0                  34    NA            NA                  HR        NA
J3    IO_L1N_T0_34                  0                  34    NA            NA                  HR        NA
M7    IO_L2P_T0_34                  0                  34    NA            NA                  HR        NA
L7    IO_L2N_T0_34                  0                  34    NA            NA                  HR        NA
M4    IO_L3P_T0_DQS_34              0                  34    NA            NA                  HR        NA
L4    IO_L3N_T0_DQS_34              0                  34    NA            NA                  HR        NA
L5    IO_L4P_T0_34                  0                  34    NA            NA                  HR        NA
K5    IO_L4N_T0_34                  0                  34    NA            NA                  HR        NA
N7    IO_L5P_T0_34                  0                  34    NA            NA                  HR        NA
N6    IO_L5N_T0_34                  0                  34    NA            NA                  HR        NA
M6    IO_L6P_T0_34                  0                  34    NA            NA                  HR        NA
M5    IO_L6N_T0_VREF_34             0                  34    NA            NA                  HR        NA
K1    IO_L7P_T1_34                  1                  34    NA            NA                  HR        NA
J1    IO_L7N_T1_34                  1                  34    NA            NA                  HR        NA
L3    IO_L8P_T1_34                  1                  34    NA            NA                  HR        NA
K2    IO_L8N_T1_34                  1                  34    NA            NA                  HR        NA
N1    IO_L9P_T1_DQS_34              1                  34    NA            NA                  HR        NA
M1    IO_L9N_T1_DQS_34              1                  34    NA            NA                  HR        NA
H2    IO_L10P_T1_34                 1                  34    NA            NA                  HR        NA
H1    IO_L10N_T1_34                 1                  34    NA            NA                  HR        NA
M2    IO_L11P_T1_SRCC_34            1                  34    NA            NA                  HR        NA
L2    IO_L11N_T1_SRCC_34            1                  34    NA            NA                  HR        NA
N3    IO_L12P_T1_MRCC_34            1                  34    NA            NA                  HR        NA
N2    IO_L12N_T1_MRCC_34            1                  34    NA            NA                  HR        NA
R3    IO_L13P_T2_MRCC_34            2                  34    NA            NA                  HR        NA
P3    IO_L13N_T2_MRCC_34            2                  34    NA            NA                  HR        NA
P4    IO_L14P_T2_SRCC_34            2                  34    NA            NA                  HR        NA
N4    IO_L14N_T2_SRCC_34            2                  34    NA            NA                  HR        NA
R1    IO_L15P_T2_DQS_34             2                  34    NA            NA                  HR        NA
P1    IO_L15N_T2_DQS_34             2                  34    NA            NA                  HR        NA
T4    IO_L16P_T2_34                 2                  34    NA            NA                  HR        NA
T3    IO_L16N_T2_34                 2                  34    NA            NA                  HR        NA
T2    IO_L17P_T2_34                 2                  34    NA            NA                  HR        NA
R2    IO_L17N_T2_34                 2                  34    NA            NA                  HR        NA
U2    IO_L18P_T2_34                 2                  34    NA            NA                  HR        NA
U1    IO_L18N_T2_34                 2                  34    NA            NA                  HR        NA
P6    IO_L19P_T3_34                 3                  34    NA            NA                  HR        NA
P5    IO_L19N_T3_VREF_34            3                  34    NA            NA                  HR        NA
T5    IO_L20P_T3_34                 3                  34    NA            NA                  HR        NA
R5    IO_L20N_T3_34                 3                  34    NA            NA                  HR        NA
U6    IO_L21P_T3_DQS_34             3                  34    NA            NA                  HR        NA
U5    IO_L21N_T3_DQS_34             3                  34    NA            NA                  HR        NA
R8    IO_L22P_T3_34                 3                  34    NA            NA                  HR        NA
P8    IO_L22N_T3_34                 3                  34    NA            NA                  HR        NA
R7    IO_L23P_T3_34                 3                  34    NA            NA                  HR        NA
R6    IO_L23N_T3_34                 3                  34    NA            NA                  HR        NA
T8    IO_L24P_T3_34                 3                  34    NA            NA                  HR        NA
